id,word,category,source,source_rank,target_ipa,target_phones,target_status,notes
BLIND75-065,zekâ,edge_case,expert_curation,0,/ze.ˈkʰaː/,z e kʰ aː,filled,final şapkalı â — k palatal ama /a/ uzun değil mi (loan)?
BLIND75-066,mahkumiyet,edge_case,expert_curation,0,/mah.cu.mi.ˈjet/,m a h c u m i j e t,filled,4 hece Arabic + uzun /uː/ + palatal etki; -iyet suffix vurgu
BLIND75-067,nüfusumuz,edge_case,expert_curation,0,/ny.fu.su.ˈmuz/,n y f u s u m u z,filled,4 hece iyelik 1pl; Arabic kök + ünlü düşmesi yok; /n/ dudaksıl koartikülasyon [nʷ] sub-fonemik (yazılmaz)
BLIND75-068,huzursuzluk,edge_case,expert_curation,0,/hu.zuɾ̞̊.suz.ˈɫuk/,h u z u ɾ̞̊ s u z ɫ u k,filled,4 hece; iki -suz- türetim üst üste; ünlü düşmesi/sürtünmesi
BLIND75-069,oğlu,edge_case,expert_curation,0,/oː.ˈɫu/,oː ɫ u,filled,iyelik 3sg oğul→oğlu; ünlü düşmesi + soft-g coda+l → uzatma /oːlu/
BLIND75-070,ağırlık,edge_case,expert_curation,0,/a.ɯɾ.ˈɫɯk/,a ɯ ɾ ɫ ɯ k,filled,3 hece; intervokalik ğ hiatus + final palatal /lic/
BLIND75-071,ahmet'in,edge_case,expert_curation,0,/ah.me.ˈtʰin/,a h m e tʰ i n,filled,apostrof + ek (genitif); Arabic kök; h tıslamalı; özel ad vurgu
BLIND75-072,karadeniz'de,edge_case,expert_curation,0,/kʰa.ɾa.de.niz.ˈde/,kʰ a ɾ a d e n i z d e,filled,compound özel ad + apostrof + lokatif; first-element stres korunur mu?
BLIND75-073,fethiye,edge_case,expert_curation,0,/fet.hi.ˈje/,f e t h i j e,filled,yer adı Arabic kök; th sesi + -iye suffix; uzun /iː/?
BLIND75-074,laiklik,edge_case,expert_curation,0,/ɫa.ic.ˈlic/,ɫ a i c l i c,filled,hiatus /la.ic/ Fransızca alıntı + -lik suffix; palatal k
BLIND75-075,kâbuslarım,edge_case,expert_curation,0,/kʰaː.bus.ɫa.ˈɾɯm/,kʰ aː b u s ɫ a ɾ ɯ m,filled,4 hece; â uzun ama k velar kʰ (kâğıt ile tutarlı, motor doğru); çoğul-iyelik; gold düzeltildi 2026-05-17
